"tconst","primaryTitle","startYear","endYear","rank","averageRating","numVotes","directors","writers","genres","IMDbLink","Title_IMDb_Link"
"tt8772296","Euphoria",2019,NA,213,8.3,269692,"Sam Levinson, Pippa Bianco, Augustine Frizzell, Jennifer Morrison","Ron Leshem, Daphna Levin, Sam Levinson, Hunter Schafer, Jonas Lindt, Paulina Lorenz","Drama","<a href=""https://www.imdb.com/title/tt8772296"" target=""_blank"">tt8772296</a>","<a href=""https://www.imdb.com/title/tt8772296"" target=""_blank"">Euphoria</a>"
"tt9561862","Love, Death & Robots",2019,NA,214,8.4,212261,"Gabriele Pennacchioli, Jennifer Yuh Nelson, Jerome Denjean, Franck Balson, Tim Miller, Víctor Maldonado, Alfredo Torres, Jerome Chen, Alberto Mielgo, Dominique Boidin, Léon Bérelle, Rémi Kozyra, Maxime Luère, Robert Valley, Ki-Yong Bae, Dae Woo Lee, Damian Nenow, Javier Recio Gracia, Vitaliy Shushko, Owen Sullivan, Oliver Thomas, Dave Wilson, Jon Yeo, István Zorkóczy, Alex Beaty, Elliot Dear, Meat Dept, Simon Otto, Robert Bisi, Emily Dean, David Fincher, Andy Lyon, Patrick Osborne, Carlos Stevens","Tim Miller, Philip Gelatt, John Scalzi, Joe R. Lansdale, Neal Asher, Alberto Mielgo, Michael Swanwick, Marko Kloos, Alastair Reynolds, David W. Amendola, Kirsten Cross, Claudine Griggs, Peter F. Hamilton, Steven Lewis, Ken Liu, Janis Robertson, Vitaliy Shushko, Paolo Bacigalupi, J.G. Ballard, Meat Dept, Harlan Ellison, Joachim Heijndermans, Rich Larson, Alan Baxter, Robert Bisi, Justin Coates, Jeff Fowler, Andy Lyon, Bruce Sterling, Andrew Kevin Walker, Kevin Van Der Meiren","Action, Adventure, Animation","<a href=""https://www.imdb.com/title/tt9561862"" target=""_blank"">tt9561862</a>","<a href=""https://www.imdb.com/title/tt9561862"" target=""_blank"">Love, Death & Robots</a>"
"tt10155688","Mare of Easttown",2021,2021,215,8.4,203807,"Craig Zobel","Brad Ingelsby","Crime, Drama, Mystery","<a href=""https://www.imdb.com/title/tt10155688"" target=""_blank"">tt10155688</a>","<a href=""https://www.imdb.com/title/tt10155688"" target=""_blank"">Mare of Easttown</a>"
"tt0285331","24",2001,2010,216,8.4,201984,"Jon Cassar, Brad Turner, Milan Cheylov, Bryan Spicer, Stephen Hopkins, Ian Toynton, Frederick King Keller, James Whitmore Jr., Tim Iacofano, Kevin Hooks, Michael Klick, Rodney Charters, Winrich Kolbe, Davis Guggenheim, Paul Shapiro, Ken Girotti, Dwight H. Little, Nelson McCormick","Robert Cochran, Joel Surnow, Matt Michnovetz, Howard Gordon, Nicole Ranadive, Michael Loceff, Evan Katz, Duppy Demetrius, Manny Coto, Virgil Williams, Elizabeth Cosin, David Fury, Brannon Braga, Stephen Kronish, Chip Johannessen, Alex Gansa, Patrick Harbinson, Gil Grant, Sam Montgomery, Peter M. Lenkov, Maurice Hurley, Michael S. Chernuchin, Andrea Newman, David Ehrman, Juan Carlos Coto, Remi Aubuchon, Lawrence Hertzog, Neil Cohen, Anne Cofell Saunders, Steven Long Mitchell, Craig W. Van Sickle, Adam Fierro, Geoff Aull, Shauna McGarry","Action, Crime, Drama","<a href=""https://www.imdb.com/title/tt0285331"" target=""_blank"">tt0285331</a>","<a href=""https://www.imdb.com/title/tt0285331"" target=""_blank"">24</a>"
"tt9253284","Andor",2022,2025,217,8.4,188672,"Toby Haynes, Ariel Kleiman, Benjamin Caron, Susanna White, Janus Metz, Alonso Ruizpalacios","Tony Gilroy, George Lucas, Dan Gilroy, Beau Willimon, Tom Bissell, Stephen Schiff","Action, Adventure, Drama","<a href=""https://www.imdb.com/title/tt9253284"" target=""_blank"">tt9253284</a>","<a href=""https://www.imdb.com/title/tt9253284"" target=""_blank"">Andor</a>"
"tt2401256","The Night Of",2016,2016,218,8.4,182010,"Steven Zaillian, James Marsh","Peter Moffat, Richard Price, Steven Zaillian","Crime, Drama, Mystery","<a href=""https://www.imdb.com/title/tt2401256"" target=""_blank"">tt2401256</a>","<a href=""https://www.imdb.com/title/tt2401256"" target=""_blank"">The Night Of</a>"
"tt0387199","Entourage",2004,2011,219,8.4,180001,"Julian Farino, Mark Mylod, Daniel Attias, David Nutter, Ken Whittingham, Doug Ellin, Seith Mann, David Frankel, Patty Jenkins, Kevin Connolly, Adam Bernstein, Leslie Libman, Craig Zisk, Adam Davidson, Tucker Gates, Roger Kumble","Doug Ellin, Wesley S. Nickerson III, Lisa Alden, Ally Musika, Kenny Neibart, Ben Nedivi, Matt Wolpert, Rob Weiss, Cliff Dorfman, Brian Burns, Larry Charles, Tim Griffin, Stephen Levinson, Marc Abrams, Michael Benson, Chris Henchy, Jerry Ferrara, Dusty Kay","Comedy, Drama","<a href=""https://www.imdb.com/title/tt0387199"" target=""_blank"">tt0387199</a>","<a href=""https://www.imdb.com/title/tt0387199"" target=""_blank"">Entourage</a>"
"tt7657124","The Heroes",2008,NA,220,8.4,170067,"Siavash ZarrinAbadi, Mehrdad Sheikhan","Siavash ZarrinAbadi","Animation, Drama, History","<a href=""https://www.imdb.com/title/tt7657124"" target=""_blank"">tt7657124</a>","<a href=""https://www.imdb.com/title/tt7657124"" target=""_blank"">The Heroes</a>"
"tt8398600","After Life",2019,2022,221,8.4,160736,"Ricky Gervais","Ricky Gervais","Comedy, Drama","<a href=""https://www.imdb.com/title/tt8398600"" target=""_blank"">tt8398600</a>","<a href=""https://www.imdb.com/title/tt8398600"" target=""_blank"">After Life</a>"
"tt1474684","Luther",2010,2019,222,8.4,158884,"Sam Miller, Jamie Payne, Brian Kirk, Stefan Schwartz, Farren Blackburn","Neil Cross","Crime, Drama, Mystery","<a href=""https://www.imdb.com/title/tt1474684"" target=""_blank"">tt1474684</a>","<a href=""https://www.imdb.com/title/tt1474684"" target=""_blank"">Luther</a>"
"tt0409591","Naruto",2002,2007,223,8.4,145041,"Hayato Date, Harume Kosaka, Masaaki Kumagai, Rion Kujô, Masahiko Murata, Mitsutaka Noshitani, Hiroshi Kimura, Toshiya Niidome, Tsuyoshi Matsumoto, Akira Shimizu, Shinji Satô, Toshiyuki Tsuru, Shûji Miyahara, Yasunori Urata, Atsushi Wakabayashi, Takeyuki Sadohara, Yoshinori Odaka, Masayuki Iimura, Hayato Gôda, Yasuyuki Honda, Kyôsuke Mikuriya, Kazuyoshi Yokota, Matsuo Asami, Shinsu Itô, Keiichirô Kawaguchi, Yoshihisa Matsumoto, Mamoru Enomoto, Shigenori Kageyama, Chiyuki Tanaka, Atsushi Takeyama, Kiyomu Fukuda, Yukio Okazaki","Masashi Kishimoto, Katsuyuki Sumizawa, Junki Takegami, Satoru Nishizono, Akatsuki Yamatoya, Mushi Kôhei, Kou Hei Mushi, Michiko Yokote, Yasuyuki Suzuki, Yuka Miyata, Shin Yoshida, Tamotsu Mizukoshi, Liam O'Brien","Action, Adventure, Animation","<a href=""https://www.imdb.com/title/tt0409591"" target=""_blank"">tt0409591</a>","<a href=""https://www.imdb.com/title/tt0409591"" target=""_blank"">Naruto</a>"
"tt2017109","Banshee",2013,2016,224,8.4,134898,"Ole Christian Madsen, Greg Yaitanes, Loni Peristere, S.J. Clarkson, Miguel Sapochnik, Babak Najafi, Magnus Martens, Everardo Gout, Dean White, Jonathan Tropper","David Schickler, Jonathan Tropper, Adam Targum, Evan Dunsky, Doug Jung, John Romano, Jennifer Ames, Justin Britt-Gibson, Chris Kelley, Steve Turner, Chad Feehan, Liz Sagal, Halley Wegryn Gross","Action, Crime, Drama","<a href=""https://www.imdb.com/title/tt2017109"" target=""_blank"">tt2017109</a>","<a href=""https://www.imdb.com/title/tt2017109"" target=""_blank"">Banshee</a>"
"tt0458290","Star Wars: The Clone Wars",2008,2020,225,8.4,130631,"Dave Filoni, Brian Kalin O'Connell, Steward Lee, Kyle Dunlevy, Giancarlo Volpe, Danny Keller, Bosco Ng, Rob Coleman, Justin Ridge, Saul Ruiz, Nathaniel Villanueva, Jesse Yeh, Duwayne Dunham, Dave Bullock, Atsushi Takeuchi, Robert Dalva, Walter Murch","George Lucas, Henry Gilroy, Drew Z. Greenberg, Scott Murphy, Katie Lucas, Christian Taylor, Dave Filoni, Steven Melching, Matt Michnovetz, Brent Friedman, Chris Collins, Charles Murray, Paul Dini, Eoghan Mahony, George Krstic, Daniel Arkin, Steven Long Mitchell, Craig W. Van Sickle, Cameron Litvack, Bonnie Mark, Jose Molina, Melinda Hsu, Brian Larsen, Craig Titley, Julie Siege, Jonathan Rinzler, Tim Burns, Kevin Campbell, Kevin Rubio, Bill Canterbury, Jen Klein, Andrew Kreisberg, Wendy Mericle, Ben Edlund","Action, Adventure, Animation","<a href=""https://www.imdb.com/title/tt0458290"" target=""_blank"">tt0458290</a>","<a href=""https://www.imdb.com/title/tt0458290"" target=""_blank"">Star Wars: The Clone Wars</a>"
"tt2149175","The Americans",2013,2018,226,8.4,116995,"Chris Long, Daniel Sackheim, Thomas Schlamme, Daniel Attias, Stefan Schwartz, Kevin Dowling, Nicole Kassell, Adam Arkin, Noah Emmerich, Matthew Rhys, John Dahl, Andrew Bernstein, Steph Green, Kevin Bray, Roxann Dawson, Sylvain White, Alex Chapple, Holly Dale, Jean de Segonzac, Bill Johnson, Jim McKay, Gavin O'Connor, Gregory Hoblit, Lodge Kerrigan, Constantine Makris, Alik Sakharov, Charlotte Sieling, Larysa Kondracki, Christopher Misiano, Stephen Williams, Kari Skogland, Gwyneth Horder-Payton","Joseph Weisberg, Joel Fields, Joshua Brand, Mike Batistick, Sneha Koorse, Stephen Schiff, Peter Ackerman, Tracey Scott Wilson, Lara Shapiro, Hilary Bettis, Melissa James Gibson, Stuart Zicherman, Sarah Nolen, Bradford Winters, Angelina Burnett, Oliver North, Tanya Barfield, Justin Weinberger, Rocky Burnswork","Crime, Drama, Mystery","<a href=""https://www.imdb.com/title/tt2149175"" target=""_blank"">tt2149175</a>","<a href=""https://www.imdb.com/title/tt2149175"" target=""_blank"">The Americans</a>"
"tt0491738","Psych",2006,2014,227,8.4,115501,"Mel Damski, Steve Franks, James Roday Rodriguez, Stephen Surjik, John Badham, Matt Shakman, David Crabtree, Jay Chandrasekhar, Andrew Bernstein, Andy Berman, Michael Zinberg, Tim Matheson, John Landis, Brad Turner, Jennifer Lynch, Joanna Kerns, Eric Laneuville, Michael McMurray, Tawnia McKiernan, Reginald Hudlin, Richard Coleman, Michael Engler, John Fortenberry, John T. Kretchmer, Michael Lange, Jeff Melman, James L. Conway, Paul Lazarus, Arlene Sanford, Oz Scott, Lev L. Spiro, Jason Ensler, Steve Miner, Martha Coolidge, Timothy Busfield, Saladin K. Patterson, Fred Mendes, Kirsten Nelson","Steve Franks, Andy Berman, Anupam Nigam, Saladin K. Patterson, James Roday Rodriguez, Tim Meltreger, Tami Sagher, Kell Cahoon, Todd Harthan, Bill Callahan, Carlos Jacott, Josh Bycel, Kerry Lenhart, John J. Sakmar, Douglas Steinberg, Daniel Hsia, Lee Goldberg, William Rabkin, Tory Walker, Brittany Hilgers","Comedy, Crime, Mystery","<a href=""https://www.imdb.com/title/tt0491738"" target=""_blank"">tt0491738</a>","<a href=""https://www.imdb.com/title/tt0491738"" target=""_blank"">Psych</a>"
"tt0118480","Stargate SG-1",1997,2007,228,8.4,104696,"Peter DeLuise, Martin Wood, Andy Mikita, William Waring, William Gereghty, David Warry-Smith, Peter F. Woeste, Brad Turner, Mario Azzopardi, Ken Girotti, Charles Correll, Jonathan Glassner, Dennis Berry, Bill Corcoran, Robert C. Cooper, Allan Eastman, Jeff Woolnough, Duane Clark, Jim Kaufman, Chris McMullin, Allan Lee, Michael Shanks, Amanda Tapping","Jonathan Glassner, Brad Wright, Robert C. Cooper, Joseph Mallozzi, Paul Mullie, Tor Alexander Valenza, Damian Kindler, Peter DeLuise, Katharyn Powers, Alan McCullough, Ronald Wilkerson, Michael Greenburg, Heather E. Ash, Jeff King, Jarrad Paul, Terry Curtis Fox, Christopher Judge, Martin Gero, Hart Hanson, James Crocker, David Rich, James Tichenor, Michael Shanks, David Carren, J. Larry Carroll, Steven Barnes, David Kemper, Sam Egan, Misha Rashovich, Carl Binder, Victoria James, Michael Cassutt, Mark Saraceni, Tom J. Astle, Michael Kaplan, John Sanborn, Daniel Stashower, Sonny Wareham, James Phillips, Jacqueline Samuda, Corin Nemec, Ben Browder, Alex Levine, Dean Devlin, Roland Emmerich","Action, Adventure, Drama","<a href=""https://www.imdb.com/title/tt0118480"" target=""_blank"">tt0118480</a>","<a href=""https://www.imdb.com/title/tt0118480"" target=""_blank"">Stargate SG-1</a>"
"tt9059760","Normal People",2020,2020,229,8.4,104122,"Lenny Abrahamson, Hettie Macdonald","Alice Birch, Mark O'Rowe, Sally Rooney","Drama, Romance","<a href=""https://www.imdb.com/title/tt9059760"" target=""_blank"">tt9059760</a>","<a href=""https://www.imdb.com/title/tt9059760"" target=""_blank"">Normal People</a>"
"tt2788432","American Crime Story",2016,NA,230,8.4,100792,"Ryan Murphy, Anthony Hemingway, Michael Uppendahl, Gwyneth Horder-Payton, Daniel Minahan, Laure de Clermont-Tonnerre, Rachel Morrison, John Singleton, Matt Bomer, Nelson Cragg","Jeffrey Toobin, Scott Alexander, Larry Karaszewski, Sarah Burgess, Daniel Pearle, Maureen Orth, Tom Rob Smith, D.V. DeVincentis, Flora Birnbaum, Joe Robert Cole, Maya Forbes, Wallace Wolodarsky, Maggie Cohn, Halley Feiffer","Biography, Crime, Drama","<a href=""https://www.imdb.com/title/tt2788432"" target=""_blank"">tt2788432</a>","<a href=""https://www.imdb.com/title/tt2788432"" target=""_blank"">American Crime Story</a>"
"tt1220617","The Inbetweeners",2008,2010,231,8.4,97582,"Ben Palmer, Gordon Anderson, Damon Beesley, Iain Morris","Damon Beesley, Iain Morris","Comedy","<a href=""https://www.imdb.com/title/tt1220617"" target=""_blank"">tt1220617</a>","<a href=""https://www.imdb.com/title/tt1220617"" target=""_blank"">The Inbetweeners</a>"
"tt0060028","Star Trek",1966,1969,232,8.4,96651,"Marc Daniels, Joseph Pevney, Ralph Senensky, Vincent McEveety, Jud Taylor, Herb Wallerstein, Robert Butler, Marvin J. Chomsky, John Meredyth Lucas, Gerd Oswald, James Goldstone, Herschel Daugherty, David Alexander, Lawrence Dobkin, Harvey Hart, Leo Penn, Joseph Sargent, Robert Sparr, Robert Gist, Don McDougall, John Newland, Michael O'Herlihy, John Erman, James Komack, Anton Leader, Gene Nelson, Murray Golden, Herbert Kenwith","Gene Roddenberry, Arthur H. Singer, Gene L. Coon, D.C. Fontana, Jerome Bixby, John Meredyth Lucas, Jerry Sohl, Robert Bloch, John D.F. Black, Oliver Crawford, David Gerrold, Margaret Armen, Arthur Heinemann, Stephen Kandel, Paul Schneider, Theodore Sturgeon, Shimon Wincelberg, David P. Harmon, Don Ingalls, Art Wallace, Steven W. Carabatsos, Jean Lisette Aroeste, George Clayton Johnson, Richard Matheson, Samuel A. Peeples, Adrian Spies, Barry Trivers, Fredric Brown, Max Ehrlich, Harlan Ellison, Robert Hamner, Don Mankiewicz, Gilbert Ralston, Boris Sobelman, Norman Spinrad, Carey Wilber, Judy Burns, Meyer Dolinsky, John T. Dugan, Edward J. Lakso, Joyce Muskat, Chet Richards, Robert Sabaroff, Hendrik Vollaerts, Laurence N. Wolfe, Stanley Adams, Lee Erwin, Shari Lewis, George F. Slavin, Jeremy Tarcher, John Kneubuhl","Action, Adventure, Drama","<a href=""https://www.imdb.com/title/tt0060028"" target=""_blank"">tt0060028</a>","<a href=""https://www.imdb.com/title/tt0060028"" target=""_blank"">Star Trek</a>"
"tt6473300","Mirzapur",2018,NA,233,8.4,89369,"Gurmmeet Singh, Mihir Desai, Karan Anshuman, Anand Iyer","Puneet Krishna, Vineet Krishna, Karan Anshuman, Apurva Dhar Badgaiyan, Avinash Singh","Action, Crime, Thriller","<a href=""https://www.imdb.com/title/tt6473300"" target=""_blank"">tt6473300</a>","<a href=""https://www.imdb.com/title/tt6473300"" target=""_blank"">Mirzapur</a>"
"tt1442462","The Good Wife",2009,2016,234,8.4,85994,"Rosemary Rodriguez, Michael Zinberg, Brooke Kennedy, James Whitmore Jr., Félix Enríquez Alcalá, Jim McKay, Frederick E.O. Toye, Robert King, Matt Shakman, Nelson McCormick, Rod Holcomb, Roxann Dawson, Griffin Dunne, Josh Charles, Paris Barclay, Charles McDougall, Christopher Misiano, Dean Parisot, Kevin Hooks, David Dworetzky, Scott Ellis, Daniel Minahan, Gloria Muzio, John Polson, John Gallagher, Lesli Linka Glatter, Julie Hébert, Peter O'Fallon, Steve Shill, Alex Zakrzewski, Phil Abraham, Tom DiCillo, Joshua Marston, David Platt, Ted Humphrey, Craig Zisk, Phil Alden Robinson","Michelle King, Robert King, Adam R. Perlman, Ted Humphrey, Leonard Dick, Keith Eisner, Corinne Brinkerhoff, Meredith Averill, Craig Turk, Luke Schelhaas, Courtney A. Kemp, Nichelle D. Tramble, Erica Shelton, Matthew Montoya, Julia Wolfe, Todd Ellis Kessler, Tyler Bensinger, Stephanie Sengupta, Karen Hall, Barry M. Schkolnick, Steve Lichtman, Jacqueline Hoyt, Angela Amato-Velez, Dee Johnson, Tom Smuts, Frank Pierson, Amanda Segel, Joey Scavuzzo, Aaron Slavick","Crime, Drama, Mystery","<a href=""https://www.imdb.com/title/tt1442462"" target=""_blank"">tt1442462</a>","<a href=""https://www.imdb.com/title/tt1442462"" target=""_blank"">The Good Wife</a>"
"tt4189022","Ash vs Evil Dead",2015,2018,235,8.4,82515,"Mark Beesley, Rick Jacobson, Tony Tilse, M.J. Bassett, David Frazee, Michael Hurst, Daniel Nettheim, Sam Raimi, Regan Hall, Andres Meza-Valdes, Diego Meza-Valdes","Ivan Raimi, Sam Raimi, Tom Spezialy, James Eagan, Aaron Lam, Nate Crocker, Zoë Green, Will Soodik, Bryan Edward Hill, Caitlin Meares, Sean Clements, Dominic Dierkes, Luke Kalteux, Craig DiGregorio, Rick Jacobson, M.J. Bassett, Rob Wright, Jennifer Ames, Hank Chilton, Suzanne Keilly, Steve Turner, Noelle Valdivia, Cameron Welsh, Rob Fresco, Nicki Paluga, Mark Verheiden","Action, Comedy, Horror","<a href=""https://www.imdb.com/title/tt4189022"" target=""_blank"">tt4189022</a>","<a href=""https://www.imdb.com/title/tt4189022"" target=""_blank"">Ash vs Evil Dead</a>"
"tt0088509","Dragon Ball",1986,1989,236,8.5,71780,"Daisuke Nishio, Kazuhisa Takenouchi, Yoshihiro Ueda, Mitsuo Hashimoto, Minoru Okazaki, Osamu Kasai, Yûji Endô, Yutaka Satô, Toshihiko Arisako","Naruhisa Arakawa, Yasushi Hirano, Toshiki Inoue, Takao Koyama, Miho Maruo, Yûichirô Oguro, Michiru Shimada, Yoshiyuki Suga, Katsuyuki Sumizawa, Keiji Terui, Akira Toriyama, Cheng'en Wu, Shun'ichi Yukimuro, Yoshifumi Yûki","Action, Adventure, Animation","<a href=""https://www.imdb.com/title/tt0088509"" target=""_blank"">tt0088509</a>","<a href=""https://www.imdb.com/title/tt0088509"" target=""_blank"">Dragon Ball</a>"
"tt0280249","Dragon Ball",1995,2003,237,8.5,69976,"Minoru Okazaki, Daisuke Nishio","Joel Bergen, Neil Bligh, Ian James Corlett, Chris Forbis, Jared Hedges, Terry Klassen, Ward Perry, Akira Toriyama, Eric Vale, Barry Watson","Action, Adventure, Animation","<a href=""https://www.imdb.com/title/tt0280249"" target=""_blank"">tt0280249</a>","<a href=""https://www.imdb.com/title/tt0280249"" target=""_blank"">Dragon Ball</a>"
"tt3428912","Happy Valley",2014,2023,238,8.5,69174,"Sally Wainwright, Euros Lyn, Patrick Harkins, Fergus O'Brien, Tim Fywell, Neasa Hardiman","Sally Wainwright","Crime, Drama, Thriller","<a href=""https://www.imdb.com/title/tt3428912"" target=""_blank"">tt3428912</a>","<a href=""https://www.imdb.com/title/tt3428912"" target=""_blank"">Happy Valley</a>"
"tt7120662","Derry Girls",2018,2022,239,8.5,68235,"Michael Lennox","Lisa McGee","Comedy","<a href=""https://www.imdb.com/title/tt7120662"" target=""_blank"">tt7120662</a>","<a href=""https://www.imdb.com/title/tt7120662"" target=""_blank"">Derry Girls</a>"
"tt11912196","Asur: Welcome to Your Dark Side",2020,NA,240,8.5,68127,"Oni Sen","Abhijeet Khuman, Niren Bhatt, Eisha Chopra, Vibhu Kashyap, Gaurav Shukla, Suraj Gianani, Abhishek Garg, Chirag Salian, Vinay Chhawal","Crime, Drama, Mystery","<a href=""https://www.imdb.com/title/tt11912196"" target=""_blank"">tt11912196</a>","<a href=""https://www.imdb.com/title/tt11912196"" target=""_blank"">Asur: Welcome to Your Dark Side</a>"
"tt0863046","Flight of the Conchords",2007,2009,241,8.5,68108,"James Bobin, Troy Miller, Taika Waititi, Michael Patrick Jann, Paul Simms, Michel Gondry","James Bobin, Jemaine Clement, Bret McKenzie, Damon Beesley, Iain Morris, Duncan Sarkies, Paul Simms, Taika Waititi, Eric Kaplan","Comedy, Music, Musical","<a href=""https://www.imdb.com/title/tt0863046"" target=""_blank"">tt0863046</a>","<a href=""https://www.imdb.com/title/tt0863046"" target=""_blank"">Flight of the Conchords</a>"
"tt0068098","M*A*S*H",1972,1983,242,8.5,66374,"Charles S. Dubin, Alan Alda, Burt Metcalfe, Gene Reynolds, Hy Averback, Don Weis, Jackie Cooper, William K. Jurgensen, Harry Morgan, George Tyne, William Wiard, Larry Gelbart, Mike Farrell, Nell Cox, James Sheldon, Lee Philips, Earl Bellamy, Alan Rafkin, Tony Mordente, David Ogden Stiers, Terry Becker, Bruce Bilson, Michael O'Herlihy, E.W. Swackhamer, Norman Tokar, John Erman, Joan Darling, Joshua Shelley, Mel Damski, Stuart Millar, Gabrielle Beaumont, Rena Down, Susan Oliver, Michael Switzer, Jamie Farr","Larry Gelbart, Richard Hooker, Dennis Koenig, David Isaacs, Ken Levine, Thad Mumford, Dan Wilcox, Karen Hall, Laurence Marks, Larry Balmagia, James Fritzell, Everett Greenbaum, Alan Alda, Elias Davis, David Pollock, Gene Reynolds, John Rappaport, Burt Prelutsky, Simon Muntner, Ronny Graham, Robert Klane, Sid Dorfman, Linda Bloodworth-Thomason, Gary Markowitz, Jay Folb, Sheldon Keller, Burt Metcalfe, Mike Farrell, Jim Mulligan, Mary Kay Place, Erik Tarloff, John D. Hess, John W. Regier, Tom Reeder, Hal Dresner, Burt Styler, Bernard Dilbert, Carl Kleinschmitt, Jerry Mayer, McLean Stevenson, Bill Idelson, Allan Katz, Don Reo, Sheldon Bull, Mitch Markowitz, Paul Perlove, Richard Baer, Ed Jurist, David Ketchum, Marc Mandel, Richard Powell, Bruce Shelly, Keith Walker, Gerry Renert, Paul Richards, Jeff Wilhelm, Glen Charles, Les Charles, Arthur Julian, Rick Mittleman, Charlie Hauck, Reinhold Weege, Johnny Bonaduce, Allyn Freeman, Gary David Goldberg, David Lawrence, Don Segall, Bob Colleary, Walter D. Dishell, Sy Rosen, James Jay Rubinfier, Hank Bradford, Lee H. Grant","Comedy, Drama, War","<a href=""https://www.imdb.com/title/tt0068098"" target=""_blank"">tt0068098</a>","<a href=""https://www.imdb.com/title/tt0068098"" target=""_blank"">M*A*S*H</a>"
"tt1710308","Regular Show",2010,2017,243,8.5,65900,"John Davis Infantino, Sean Szeles, Calvin Wong, J.G. Quintel, Mike Roth","J.G. Quintel, Matt Price, Sean Szeles, Mike Roth, John Davis Infantino, Michele Cavin, Benton Connor, Calvin Wong, Jack C. Thomas, Toby Jones, Madeline Queripel, Owen Dennis, Minty Lewis, Kat Morris, Patrick Baker, Gina Ippolito, Andres Salaff, Hilary Florido, Ryan Pequin, Sarah Oleksyk, Casey Crowe, Sam Spina, David Sacks, Alex Cline, Gideon Chase, Shion Takeuchi, Hellen Jo, Sean Glaze, Paul Scarlata, Bill Oakley, Ben Adams, Jake Armstrong, Kent Osborne, Dennis Messner, Henry Yu, Darrick Bachman, James Kim, Nathan Bulmer","Action, Adventure, Animation","<a href=""https://www.imdb.com/title/tt1710308"" target=""_blank"">tt1710308</a>","<a href=""https://www.imdb.com/title/tt1710308"" target=""_blank"">Regular Show</a>"
"tt0278238","Samurai Jack",2001,2017,244,8.5,63155,"Genndy Tartakovsky, Randy Myers, Robert Alvarez, Rob Renzetti, Chris Savino","Genndy Tartakovsky, Bryan Andrews, Brian Larsen, Chris Reccardi, Darrick Bachman, Paul Rudish, Charlie Bean, Aaron Springer, Chris Mitchell, Erik Wiese, Mark Andrews, Carey Yost, Don Shank, Michael Manley, Jim Smith, David Krentz","Action, Adventure, Animation","<a href=""https://www.imdb.com/title/tt0278238"" target=""_blank"">tt0278238</a>","<a href=""https://www.imdb.com/title/tt0278238"" target=""_blank"">Samurai Jack</a>"
"tt0187664","Spaced",1999,2001,245,8.5,59443,"Edgar Wright","Jessica Hynes, Simon Pegg","Comedy","<a href=""https://www.imdb.com/title/tt0187664"" target=""_blank"">tt0187664</a>","<a href=""https://www.imdb.com/title/tt0187664"" target=""_blank"">Spaced</a>"
"tt0423731","Samurai Champloo",2004,2005,246,8.5,59384,"Mamoru Hosoda, Shin'ichirô Watanabe, Hirotaka Endô, Sayo Yamamoto, Tsuyoshi Yoshimoto, Kazuto Nakazawa, Masato Miyoshi, Akira Yoshimura, Shintarô Inokawa, Shûkô Murase, Keiichi Sasajima, Mitsutaka Noshitani, Kei Tsunematsu","Shinji Obara, Kristi Reed, Shin'ichirô Watanabe, Tom Wyner, Dai Satô, Seiko Takagi, Touko Machida, Kazuto Nakazawa, Keiko Nobumoto, Ryôta Sugi","Action, Adventure, Animation","<a href=""https://www.imdb.com/title/tt0423731"" target=""_blank"">tt0423731</a>","<a href=""https://www.imdb.com/title/tt0423731"" target=""_blank"">Samurai Champloo</a>"
"tt8289930","Formula 1: Drive to Survive",2019,NA,247,8.5,55741,"David Hayes, Martin Webb, Nick Hardie, James Routh, Nonuk Walter","-","Documentary, Sport","<a href=""https://www.imdb.com/title/tt8289930"" target=""_blank"">tt8289930</a>","<a href=""https://www.imdb.com/title/tt8289930"" target=""_blank"">Formula 1: Drive to Survive</a>"
"tt5897304","Mob Psycho 100",2016,2022,248,8.5,54605,"Yuzuru Tachikawa, Katsuya Shigehara, Yûji Ôya, Takefumi Anzai, Takahiro Hasui, Ken'ichi Fujisawa, Hakuyu Go, Shinnosuke Ito, Naoto Uchida, Yôko Kanamori, Takashi Kawabata, Tomoaki Ohta, Shôhei Miyake, Toshiyuki Sone, Hiroshi Takeuchi, Tsuyoshi Tobita, Itsuki Tsuchigami, Masamitsu Abe, Yûta Kiso, Yôhei Shindô","Mike McFarland, One, Hiroshi Seko, Yuzuru Tachikawa","Action, Animation, Comedy","<a href=""https://www.imdb.com/title/tt5897304"" target=""_blank"">tt5897304</a>","<a href=""https://www.imdb.com/title/tt5897304"" target=""_blank"">Mob Psycho 100</a>"
"tt0275137","Justice League",2001,2004,249,8.5,54553,"Butch Lukic, Dan Riba","Bob Kane, William Moulton Marston, Joe Shuster, Jerry Siegel, Stan Berkowitz, Dwayne McDuffie, Rich Fogel, Keith Damron, Joseph Kuhr, Paul Dini, Kevin Hopps, Andrew Kreisberg, Len Uhley, H.P. Lovecraft, Bruce Timm, Dennis Neville, John Ridley, Otto Binder, Christopher Keenan, Jack Kirby, Linda Steiner, Irwin Hasen, Robert Kanigher, Gardner Fox, Lee Elias","Action, Adventure, Animation","<a href=""https://www.imdb.com/title/tt0275137"" target=""_blank"">tt0275137</a>","<a href=""https://www.imdb.com/title/tt0275137"" target=""_blank"">Justice League</a>"
